val_cross_entropy_step,step,val_acc,val_cross_entropy_epoch,epoch,cross_entropy_epoch,train_acc,cross_entropy_step
0.24966634809970856,78,,,,,,
0.22954067587852478,79,,,,,,
,399,0.921142578125,0.23960351943969727,39,,,
,399,,,39,0.21405382454395294,,
0.229932963848114,80,,,,,,
0.2540706396102905,81,,,,,,
,409,0.919677734375,0.24200180172920227,40,,,
,409,,,40,0.21589389443397522,,
0.2322845607995987,82,,,,,,
0.22384069859981537,83,,,,,,
,419,0.925048828125,0.22806262969970703,41,,,
,419,,,41,0.21462908387184143,,
0.23089943826198578,84,,,,,,
0.2525818347930908,85,,,,,,
,429,0.91552734375,0.2417406439781189,42,,,
,429,,,42,0.21436500549316406,,
0.2139827013015747,86,,,,,,
0.24153009057044983,87,,,,,,
,439,0.922119140625,0.22775639593601227,43,,,
,439,,,43,0.21453456580638885,,
,449,,,44,,0.9248046875,0.22916410863399506
0.24841943383216858,88,,,,,,
0.2375820428133011,89,,,,,,
,449,0.91796875,0.24300074577331543,44,,,
,449,,,44,0.21541014313697815,,
0.20147071778774261,90,,,,,,
0.23900838196277618,91,,,,,,
,459,0.92431640625,0.2202395498752594,45,,,
,459,,,45,0.21289882063865662,,
0.21663641929626465,92,,,,,,
0.24085240066051483,93,,,,,,
,469,0.92236328125,0.22874441742897034,46,,,
,469,,,46,0.20877496898174286,,
0.22647906839847565,94,,,,,,
0.238455131649971,95,,,,,,
,479,0.918701171875,0.23246710002422333,47,,,
,479,,,47,0.20916540920734406,,
0.23923812806606293,96,,,,,,
0.23726780712604523,97,,,,,,
,489,0.913330078125,0.23825296759605408,48,,,
,489,,,48,0.20961615443229675,,
,499,,,49,,0.923828125,0.23018833994865417
0.24639873206615448,98,,,,,,
0.25321441888809204,99,,,,,,
,499,0.914794921875,0.24980658292770386,49,,,
,499,,,49,0.21124306321144104,,
0.252198189496994,100,,,,,,
0.2346077263355255,101,,,,,,
,509,0.914794921875,0.24340295791625977,50,,,
,509,,,50,0.21469826996326447,,
0.2416141778230667,102,,,,,,
0.2214309722185135,103,,,,,,
,519,0.92041015625,0.2315225750207901,51,,,
,519,,,51,0.21086542308330536,,
