step,val_cross_entropy_step,val_acc,val_cross_entropy_epoch,epoch,cross_entropy_epoch,cross_entropy_step,train_acc
269,3.4095075130462646,,,,,,
270,3.4130938053131104,,,,,,
271,3.4051361083984375,,,,,,
272,3.4049603939056396,,,,,,
273,3.400686502456665,,,,,,
274,3.4064409732818604,,,,,,
1024,,0.034268464893102646,3.4046614170074463,24,,,
1024,,,,24,3.406182289123535,,
1049,,,,25,,3.4131710529327393,0.03515625
275,3.400960683822632,,,,,,
276,3.4070775508880615,,,,,,
277,3.4009969234466553,,,,,,
278,3.400811195373535,,,,,,
279,3.3995823860168457,,,,,,
280,3.4073703289031982,,,,,,
281,3.4031777381896973,,,,,,
282,3.4012832641601562,,,,,,
283,3.4042558670043945,,,,,,
284,3.402571201324463,,,,,,
285,3.4051363468170166,,,,,,
1065,,0.033913351595401764,3.4030203819274902,25,,,
1065,,,,25,3.4059839248657227,,
